label;geo_local_area;geom;geo_point_2d
1;Dunbar-Southlands;"{""coordinates"": [-123.19005937822658, 49.25505195482613], ""type"": ""Point""}";49.25505195482613, -123.19005937822658
B;Dunbar-Southlands;"{""coordinates"": [-123.18890882101735, 49.235552837179924], ""type"": ""Point""}";49.235552837179924, -123.18890882101735
B;Dunbar-Southlands;"{""coordinates"": [-123.19154152188592, 49.23555117365684], ""type"": ""Point""}";49.23555117365684, -123.19154152188592
7;Dunbar-Southlands;"{""coordinates"": [-123.19024925071406, 49.2314758215544], ""type"": ""Point""}";49.2314758215544, -123.19024925071406
16;Dunbar-Southlands;"{""coordinates"": [-123.18965435857905, 49.23688697904987], ""type"": ""Point""}";49.23688697904987, -123.18965435857905
58;Dunbar-Southlands;"{""coordinates"": [-123.19542486970703, 49.24350284744995], ""type"": ""Point""}";49.24350284744995, -123.19542486970703
76;Dunbar-Southlands;"{""coordinates"": [-123.18956871567708, 49.24713644536462], ""type"": ""Point""}";49.24713644536462, -123.18956871567708
79;Dunbar-Southlands;"{""coordinates"": [-123.19522686859104, 49.2491918429213], ""type"": ""Point""}";49.2491918429213, -123.19522686859104
4;Dunbar-Southlands;"{""coordinates"": [-123.19286186924458, 49.2505383985797], ""type"": ""Point""}";49.2505383985797, -123.19286186924458
24;Kitsilano;"{""coordinates"": [-123.17873633551996, 49.268823500155634], ""type"": ""Point""}";49.268823500155634, -123.17873633551996
217;West Point Grey;"{""coordinates"": [-123.18680326646454, 49.2680672591598], ""type"": ""Point""}";49.2680672591598, -123.18680326646454
236;West Point Grey;"{""coordinates"": [-123.186839325376, 49.27270200471641], ""type"": ""Point""}";49.27270200471641, -123.186839325376
64;Kitsilano;"{""coordinates"": [-123.17878427052307, 49.26276004498335], ""type"": ""Point""}";49.26276004498335, -123.17878427052307
170;West Point Grey;"{""coordinates"": [-123.18711512895639, 49.260897968441576], ""type"": ""Point""}";49.260897968441576, -123.18711512895639
D;Kitsilano;"{""coordinates"": [-123.18300124722765, 49.26011108069936], ""type"": ""Point""}";49.26011108069936, -123.18300124722765
206;West Point Grey;"{""coordinates"": [-123.18693550710114, 49.26722822448187], ""type"": ""Point""}";49.26722822448187, -123.18693550710114
33;Kitsilano;"{""coordinates"": [-123.18084069304822, 49.26726216655488], ""type"": ""Point""}";49.26726216655488, -123.18084069304822
2;Dunbar-Southlands;"{""coordinates"": [-123.18256436318882, 49.25153705792942], ""type"": ""Point""}";49.25153705792942, -123.18256436318882
4;Dunbar-Southlands;"{""coordinates"": [-123.18412066671566, 49.250644950935495], ""type"": ""Point""}";49.250644950935495, -123.18412066671566
A;Dunbar-Southlands;"{""coordinates"": [-123.18022574588556, 49.25051702758404], ""type"": ""Point""}";49.25051702758404, -123.18022574588556
A;Dunbar-Southlands;"{""coordinates"": [-123.17982765053964, 49.25678781502135], ""type"": ""Point""}";49.25678781502135, -123.17982765053964
H;Dunbar-Southlands;"{""coordinates"": [-123.17987272816445, 49.255196040294614], ""type"": ""Point""}";49.255196040294614, -123.17987272816445
53;Dunbar-Southlands;"{""coordinates"": [-123.18041942096598, 49.243449114196494], ""type"": ""Point""}";49.243449114196494, -123.18041942096598
2;Dunbar-Southlands;"{""coordinates"": [-123.18363512705002, 49.24293490777709], ""type"": ""Point""}";49.24293490777709, -123.18363512705002
4;Dunbar-Southlands;"{""coordinates"": [-123.18434517549397, 49.24839215970011], ""type"": ""Point""}";49.24839215970011, -123.18434517549397
64;Dunbar-Southlands;"{""coordinates"": [-123.18051633264695, 49.24534023907107], ""type"": ""Point""}";49.24534023907107, -123.18051633264695
B;Dunbar-Southlands;"{""coordinates"": [-123.18538195462334, 49.21892993514107], ""type"": ""Point""}";49.21892993514107, -123.18538195462334
3;Dunbar-Southlands;"{""coordinates"": [-123.18053540262004, 49.231236413087785], ""type"": ""Point""}";49.231236413087785, -123.18053540262004
7;Dunbar-Southlands;"{""coordinates"": [-123.18036053407424, 49.234503809039076], ""type"": ""Point""}";49.234503809039076, -123.18036053407424
6;Dunbar-Southlands;"{""coordinates"": [-123.18040872124071, 49.23321740308191], ""type"": ""Point""}";49.23321740308191, -123.18040872124071
2;Kitsilano;"{""coordinates"": [-123.16920989099789, 49.26529808731184], ""type"": ""Point""}";49.26529808731184, -123.16920989099789
13;Kitsilano;"{""coordinates"": [-123.16719559215618, 49.26710135604762], ""type"": ""Point""}";49.26710135604762, -123.16719559215618
21;Kitsilano;"{""coordinates"": [-123.1673382646501, 49.26368915072269], ""type"": ""Point""}";49.26368915072269, -123.1673382646501
20;Kitsilano;"{""coordinates"": [-123.16747073555025, 49.2643674044139], ""type"": ""Point""}";49.2643674044139, -123.16747073555025
16;Kitsilano;"{""coordinates"": [-123.16752393168645, 49.26606965220093], ""type"": ""Point""}";49.26606965220093, -123.16752393168645
4;Kitsilano;"{""coordinates"": [-123.17620631918203, 49.271769643972185], ""type"": ""Point""}";49.271769643972185, -123.17620631918203
1;Kitsilano;"{""coordinates"": [-123.1731162853258, 49.270054855794065], ""type"": ""Point""}";49.270054855794065, -123.1731162853258
1;Kitsilano;"{""coordinates"": [-123.17565219635806, 49.26023854340954], ""type"": ""Point""}";49.26023854340954, -123.17565219635806
89;Kitsilano;"{""coordinates"": [-123.17130646187236, 49.260840209845256], ""type"": ""Point""}";49.260840209845256, -123.17130646187236
4;Kitsilano;"{""coordinates"": [-123.1754612509675, 49.261815145841], ""type"": ""Point""}";49.261815145841, -123.1754612509675
10;Arbutus Ridge;"{""coordinates"": [-123.17093732950347, 49.25294488728913], ""type"": ""Point""}";49.25294488728913, -123.17093732950347
2;Arbutus Ridge;"{""coordinates"": [-123.1666047361244, 49.25256193889418], ""type"": ""Point""}";49.25256193889418, -123.1666047361244
3;Arbutus Ridge;"{""coordinates"": [-123.17356724869826, 49.254218054418644], ""type"": ""Point""}";49.254218054418644, -123.17356724869826
14;Arbutus Ridge;"{""coordinates"": [-123.17371215151617, 49.25478003814276], ""type"": ""Point""}";49.25478003814276, -123.17371215151617
3;Arbutus Ridge;"{""coordinates"": [-123.17081557655567, 49.25406745560574], ""type"": ""Point""}";49.25406745560574, -123.17081557655567
5;Arbutus Ridge;"{""coordinates"": [-123.16909483198258, 49.25654114539328], ""type"": ""Point""}";49.25654114539328, -123.16909483198258
12;Arbutus Ridge;"{""coordinates"": [-123.17153898400896, 49.25640784027285], ""type"": ""Point""}";49.25640784027285, -123.17153898400896
B;Dunbar-Southlands;"{""coordinates"": [-123.17225599839571, 49.248830966426844], ""type"": ""Point""}";49.248830966426844, -123.17225599839571
U;Dunbar-Southlands;"{""coordinates"": [-123.17195831851097, 49.250942158853356], ""type"": ""Point""}";49.250942158853356, -123.17195831851097
P;Arbutus Ridge;"{""coordinates"": [-123.1734384229804, 49.25333716557885], ""type"": ""Point""}";49.25333716557885, -123.1734384229804
O;Kerrisdale;"{""coordinates"": [-123.17670125917097, 49.22882086176667], ""type"": ""Point""}";49.22882086176667, -123.17670125917097
A;Kerrisdale;"{""coordinates"": [-123.16806161680329, 49.228331008813974], ""type"": ""Point""}";49.228331008813974, -123.16806161680329
R;Kerrisdale;"{""coordinates"": [-123.1769747277858, 49.2322984880577], ""type"": ""Point""}";49.2322984880577, -123.1769747277858
7;Kerrisdale;"{""coordinates"": [-123.16852443540189, 49.23204080804638], ""type"": ""Point""}";49.23204080804638, -123.16852443540189
F;Kerrisdale;"{""coordinates"": [-123.16818819337345, 49.2336061220717], ""type"": ""Point""}";49.2336061220717, -123.16818819337345
9;Arbutus Ridge;"{""coordinates"": [-123.1679258010386, 49.23560749820696], ""type"": ""Point""}";49.23560749820696, -123.1679258010386
3;Kitsilano;"{""coordinates"": [-123.16520753996359, 49.271350184219585], ""type"": ""Point""}";49.271350184219585, -123.16520753996359
232;Kitsilano;"{""coordinates"": [-123.15874550411444, 49.26861931442446], ""type"": ""Point""}";49.26861931442446, -123.15874550411444
233;Kitsilano;"{""coordinates"": [-123.1564206609721, 49.268491146210536], ""type"": ""Point""}";49.268491146210536, -123.1564206609721
160;Kitsilano;"{""coordinates"": [-123.16223708058784, 49.27388190806538], ""type"": ""Point""}";49.27388190806538, -123.16223708058784
2;Kitsilano;"{""coordinates"": [-123.16525820956014, 49.272156486148354], ""type"": ""Point""}";49.272156486148354, -123.16525820956014
11;Kerrisdale;"{""coordinates"": [-123.1746608795444, 49.218321039670066], ""type"": ""Point""}";49.218321039670066, -123.1746608795444
322;Kitsilano;"{""coordinates"": [-123.15905376917738, 49.26426513061544], ""type"": ""Point""}";49.26426513061544, -123.15905376917738
529;Arbutus Ridge;"{""coordinates"": [-123.15700560202303, 49.25495522194171], ""type"": ""Point""}";49.25495522194171, -123.15700560202303
360B;Kitsilano;"{""coordinates"": [-123.16389538564168, 49.262001412074426], ""type"": ""Point""}";49.262001412074426, -123.16389538564168
400A;Kitsilano;"{""coordinates"": [-123.16396885149422, 49.26055874556734], ""type"": ""Point""}";49.26055874556734, -123.16396885149422
440A;Kitsilano;"{""coordinates"": [-123.16401569874168, 49.258715748351015], ""type"": ""Point""}";49.258715748351015, -123.16401569874168
441;Kitsilano;"{""coordinates"": [-123.16160294704073, 49.258678696783], ""type"": ""Point""}";49.258678696783, -123.16160294704073
