ID,Address,Building Name,Secondary Address,Area,Latitude,Longitude,Owner,Operator,Operator Group,Ownership Group,# Registered Rooms,Occupancy Status,Match Method
155,437 Powell St.,Ming Sung Reading Rooms,439 & 441 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2833495729784,-123.094316516162,MING SUN BENEVOLENTSOCIETY,Private,Private,Chinese Society,8,Closed,address
156,556 Powell St.,Powell Rooms,558 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2827915873347,-123.092022002046,Deborah Jane Harden & Robert Wiliam Harden,Atira Property Managem,Non-Profit,Private,22,Open,address
157,566 Powell St.,Phoenix Apts,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2827896023407,-123.091917121889,McNair Park Investments,Atira Property Managem,Non-Profit,Private,12,Open,address
158,568 Powell St.,Hampton Rooms,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2827877068243,-123.091812695427,Mario Laudisio & Gianni Laudisio,Private,Private,Private,17,Open,address
160,215 Princess Ave.,Princess Lodge,"578, 580 & 582 Powell St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2827847735745,-123.091655885512,Raincty Housing And Support Society,Raincity,Non-Profit,Non-Profit,46,Open,address
161,230 Princess Ave.,Harbour Rooms,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2825121108729,-123.091181567976,1085125 BC Ltd,Private,Private,Private,12,Open,address
162,236 Princess Ave.,,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2824287396414,-123.09118526915,Andrew Charney,Private,Private,Private,5,Open,building name
163,553 Prior St.,Hing Mee Society,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2768895925919,-123.092384223844,HING MEE SOCIETY OF VANCOUVER,Private,Private,Chinese Society,6,Open,address
164,518 Richards St.,Marble Arch Hotel,,Downtown Core,49.2828027902902,-123.11322929755,BCH,Atira Property Managem,Non-Profit,Government,150,Open,address
165,1203 Seymour St.,Canadian Hotel,612 Davie St.,Downtown South,49.276531949528,-123.125547762464,Shirley Su Yi & Tai Cheun Lam & Yuet Ha Cheung,Private,Private,Private,26,Closed,address
166,716 Smithe St.,Gresham,901 Granville St.; 722 Smithe St.,Downtown South,49.2803959815857,-123.121900676812,COV,COV,Government,Government,41,Open,address
167,320 Union St.,,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2773341385904,-123.09634316548,Sandra Bonten,,,Private,7,Closed,address
168,406 Union St.,Low Young Court,408 & 410 Union St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2774537120259,-123.095304723239,0950327 BC Ltd - Mike Tanasichuk,Private,Private,Private,15,Open,address
169,468 Union St.,Lucky Rooms,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2772982943986,-123.094002512865,0853871 BC Ltd (Khai Van Phung),Private,Private,Private,26,Open,building name
170,102 Water St.,Winter's Residence,"104 & 108 Water St.; 203, 205, 207, 209, 219 & 221 Abbott St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2836555773082,-123.10676496389,,,,,,,unmatched
171,110 Water St.,Gastown Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2836919056644,-123.106964594706,BCH,Atira Property Managem,Non-Profit,Government,95,Open,address
172,122 Water St.,Colonial Residence,114 Water St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837162446379,-123.107097304399,Peter Plett - Colonial Enterprises Ltd,Atira Property Managem,Non-Profit,Private,140,Open,building name
